show_id,title,normalized_title,dtli_slug,ibdb_id,show_type,is_revival,opening_date,closing_date,theater,capitalization,source_dtli,source_ibdb,source_bww,created_at,updated_at
1613,Tail! Spin!,tail spin,tail-spin,,,0,2014-10-01,,Culture Project,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:49
1627,Extreme Weather,extreme weather,extreme-weather,,,0,2014-10-02,,Theatre for the New City,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:34
1623,Port Authority,port authority,port-authority,,,0,2014-10-02,,DR2 Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:37
1628,Tempest,tempest,tempest,,,0,2014-10-02,,La MaMa E.T.C.,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:35
1615,The Country House,country house,the-country-house,,,0,2014-10-02,,Samuel J. Friedman,,1,0,1,2026-05-21 01:56:48,2026-05-21 02:22:14
1633,Uncanny Valley,uncanny valley,uncanny-valley,,,0,2014-10-02,,59E59 Theaters,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:31
1630,Written in Sand,written in sand,written-in-sand,,,0,2014-10-02,,Baruch Performing Arts Center,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:34
1626,Can-Can,cancan,can-can,,,0,2014-10-05,,Paper Mill Playhouse,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:35
1616,The Curious Incident of the Dog in the Night-Time,curious incident of the dog in the nighttime,the-curious-incident-of-the-dog-in-the-night-time-reviews,,,0,2014-10-05,,Ethel Barrymore Theater,,1,0,1,2026-05-21 01:56:48,2026-05-21 02:17:58
1620,That Poor Dream,that poor dream,that-poor-dream,,,0,2014-10-06,,New Ohio Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:38
1654,Metamorphosis,metamorphosis,metamorphosis-2,,,0,2014-10-07,,Damrosch Park,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:26
1619,"Not I, Footfalls, Rockaby",not i footfalls rockaby,not-i-footfalls-rockaby,,,0,2014-10-07,,BAM Harvey Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:39
1618,Shakespeare's Sonnets,shakespeares sonnets,shakespeares-sonnets,,,0,2014-10-07,,BAM Howard Gilman Opera House,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:41
1617,The Killing of Sister George,killing of sister george,the-killing-of-sister-george-2,,,0,2014-10-07,,Beckett Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:41
1622,Ghost Quartet,ghost quartet,ghost-quartet,,,0,2014-10-08,,Bushwick Starr,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:37
1621,It's Only A Play,its only a play,its-only-a-play,,,0,2014-10-09,,Bernard B. Jacobs,,1,0,1,2026-05-21 01:56:48,2026-05-21 02:21:09
1636,Labyrinth,labyrinth,labyrinth,,,0,2014-10-09,,Abrons Arts Center Henry Street Settlement,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:32
1643,Deliverance,deliverance,deliverance,,,0,2014-10-10,,59E59 Theaters,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:30
1632,It Has to Be You,it has to be you,it-has-to-be-you,,,0,2014-10-12,,Abingdon Theatre Arts Complex,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:33
1624,While I Yet Live,while i yet live,while-i-yet-live,,,0,2014-10-12,,Duke on 42nd Street,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:37
1625,Jacuzzi,jacuzzi,jacuzzi,,,0,2014-10-13,,Ars Nova,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:36
1647,Father Comes Home From the Wars,father comes home from the wars,father-comes-home-from-the-wars,,,0,2014-10-14,,The Public Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:30
1629,Found,found,found,,,0,2014-10-14,,Atlantic Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:35
1665,Odd Birdz,odd birdz,odd-birdz,,,0,2014-10-14,,The Players Theatre Steve & Marie Sgouros Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:20
1635,Lennon: Through a Glass Onion,lennon through a glass onion,lennon-through-a-glass-onion,,,0,2014-10-15,,Union Square Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:51
1637,Lippy,lippy,lippy,,,0,2014-10-15,,Abrons Arts Center Henry Street Settlement,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:32
1639,4:48 Psychosis,448 psychosis,448-psychosis,,,0,2014-10-16,,St. Ann's Warehouse,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:31
1634,On The Town,on the town,on-the-town,,,0,2014-10-16,,Lyric Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:19:43
1657,Lift,lift,lift,,,0,2014-10-17,,59E59 Theaters,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:24
1653,Buzz,buzz,buzz,,,0,2014-10-18,,Tom and Sasha’s Loft,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:27
1640,Billy & Ray,billy ray,billy-ray,,,0,2014-10-19,,Vineyard Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:30
1646,Not Afraid,not afraid,not-afraid,,,0,2014-10-19,,UNDER St Marks,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:28
1638,The Belle of Amherst,belle of amherst,the-belle-of-amherst,,,0,2014-10-19,,Westside Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:02
1641,brownsville song (b-side for tray),brownsville song bside for tray,brownsville-song-b-side-for-tray,,,0,2014-10-20,,Claire Tow Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:30
1642,The Fortress of Solitude,fortress of solitude,the-fortress-of-solitude,,,0,2014-10-22,,The Public Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:30
1644,Disgraced,disgraced,disgraced-2,,,0,2014-10-23,,Lyceum Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:48
1655,Spacebar,spacebar,spacebar,,,0,2014-10-24,,The Wild Project,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:25
1663,Carnaval,carnaval,carnaval,,,0,2014-10-25,,National Black Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:22
1686,Little Dancer,little dancer,little-dancer,,,0,2014-10-25,,The Kennedy Center,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:13
1645,The Last Ship,last ship,the-last-ship-reviews,,,0,2014-10-26,,Neil Simon Theatre,,1,0,1,2026-05-21 01:56:48,2026-05-21 02:21:45
1650,Salt of the Earth,salt of the earth,salt-of-the-earth,,,0,2014-10-28,,BAM Fishman Space,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:27
1651,Six Characters in Search of an Author,six characters in search of an author,six-characters-in-search-of-an-author,,,0,2014-10-28,,BAM Harvey Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:27
1648,"Lips Together, Teeth Apart",lips together teeth apart,lips-together-teeth-apart,,,0,2014-10-29,,Second Stage Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:50
1649,The Real Thing,real thing,the-real-thing-reviews,,,0,2014-10-30,,American Airlines,,1,0,1,2026-05-21 01:56:48,2026-05-21 02:22:26
1695,THE SEAGULL and SENSE & SENSIBILITY,seagull and sense sensibility,the-seagull-and-sense-sensibility,,,0,2014-10-31,,The Sheen Center,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:06
1656,The Maids’ The Maids,maids the maids,the-maids-the-maids,,,0,2014-10-31,,Abrons Arts Center Henry Street Settlement,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:24
1680,"Tamburlaine, Parts I & II",tamburlaine parts i ii,tamburlaine-parts-i-and-ii,,,0,2014-11-01,,Polonsky Shakespeare Center,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:21:54
1666,Powerhouse,powerhouse,powerhouse,,,0,2014-11-03,,New Ohio Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:20
1652,The Oldest Boy,oldest boy,the-oldest-boy,,,0,2014-11-03,,Lincoln Center Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:27
1691,Major Barbara,major barbara,major-barbara-2,,,0,2014-11-04,,The Pearl Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:07
1667,Livin’ la Vida Imelda,livin la vida imelda,livin-la-vida-imelda,,,0,2014-11-05,,Clurman Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:19
1660,Show Boat,show boat,show-boat,,,0,2014-11-05,,Lincoln Center Theater,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:23
1659,The Object Lesson,object lesson,the-object-lesson,,,0,2014-11-05,,BAM Fishman Space,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:22
1658,Wiesenthal,wiesenthal,wiesenthal,,,0,2014-11-05,,Acorn Theatre,,1,0,0,2026-05-21 01:56:48,2026-05-21 02:22:22
