Variable,Coefficient,Std_Error,T_Stat,P_Value,CI_Lower,CI_Upper
const,1.5146304349622497e-16,0.009704326769502185,1.5607784763825998e-14,0.9999999999999876,-0.01905116488550026,0.019051164885500564
progressive_support_z,0.01743960713417003,0.010015441418586889,1.7412719425231922,0.08204981772812459,-0.002222326186770377,0.03710154045511044
median_income_z,0.05946166099932158,0.011627069505492143,5.114071174274341,4.0158535488255605e-07,0.03663584077030351,0.08228748122833965
pct_bachelors_plus_z,0.2761936388283878,0.012937842603303185,21.34773526753775,3.186260319496049e-79,0.25079455875280776,0.3015927189039679
pct_renters_z,0.220345285571003,0.012467251565700522,17.673926318869626,1.2797650701383656e-58,0.1958700519057873,0.2448205192362187
pct_age_18_44_z,0.09109075565281428,0.013486852794174026,6.754040919921892,2.9020457288013063e-11,0.06461387967046708,0.11756763163516148
dist_theatre_z,-0.23279029363872578,0.011012441818299964,-21.138844361646086,5.068582975091727e-78,-0.254409500190153,-0.2111710870872985
